CNPJ_FUNDO,DIAS_OPERADOS,RETORNO_MEDIO_DIARIO,VOLATILIDADE_RISCO
17.940.400/0001-80,102,0.000215691677,0.00186068267
34.231.938/0001-34,102,0.000414633954,0.00284080816
30.419.203/0001-88,102,0.000521493990,5.567764363e-06
35.602.471/0001-54,102,0.000214340177,0.009896886025
40.944.483/0001-05,102,0.000945609430,0.005417261762
43.597.630/0001-06,102,0.000067187571,0.001640208523
17.340.392/0001-30,102,0.000444870103,0.01171078605
05.563.613/0001-50,102,0.000510344191,0.0006298158461
21.934.904/0001-64,102,0.000148700508,0.00413432304
45.830.738/0001-14,102,0.000568879563,9.949874371e-06
28.557.904/0001-31,102,0.000870623179,0.002647289935
42.592.315/0001-15,102,0.000404398260,6.244997998e-06
08.009.152/0001-67,102,0.000387850099,0.0006652683669
08.702.798/0001-25,102,0.000900580748,0.002707240108
36.656.777/0001-56,102,-0.000921391916,0.009370539259
36.327.536/0001-63,102,0.000843788210,0.003650643642
43.617.343/0001-02,102,0.000429967786,1.292284798e-05
00.068.305/0001-35,102,0.000446368887,7.09788701e-05
04.882.647/0001-45,102,-0.002957630373,0.01731467459
41.063.386/0001-68,102,-0.000190657111,0.001769871182
38.229.922/0001-48,102,-0.000558622240,0.0177282518
12.831.360/0001-14,102,0.000133390050,0.00393063519
42.731.202/0001-53,102,0.000759284577,0.002187659023
35.744.790/0001-02,102,0.001278740950,0.003925246107
03.618.010/0001-83,102,0.002856946520,0.02814910306
31.095.989/0001-98,102,0.001107836137,0.004326964756
26.425.770/0001-70,102,-0.000124983602,0.003343773168
37.645.550/0001-78,102,0.000360696223,0.0008673995619
09.586.825/0001-04,102,0.001388275383,0.01283088765
04.701.133/0001-46,102,0.000431311780,9.949874371e-06
14.437.398/0001-32,102,0.000264346925,0.001075390627
30.493.692/0001-18,102,0.000484884757,0.001843858997
28.581.159/0001-66,102,-0.000106197119,0.0049108036
37.334.028/0001-75,102,0.000663624936,0.002992431954
05.983.569/0001-38,102,0.000457100827,1.987460691e-05
47.372.465/0001-37,102,0.000678802947,0.01352648302
17.322.725/0001-07,102,0.000457949671,0.0001353440061
04.228.545/0001-00,102,0.000509392492,6.959885057e-05
19.351.273/0001-09,102,0.000726760590,0.001860683745
20.485.402/0001-30,102,0.000009836907,0.009524120957
21.940.736/0001-10,102,0.000254900762,0.001494181381
20.056.368/0001-89,102,0.002063076328,0.01927875133
21.082.082/0001-30,102,0.000422249745,0.004945355397
43.597.545/0001-30,102,0.000101063514,0.004685053682
03.920.413/0001-82,102,0.002185220225,0.02065128822
17.253.869/0001-40,102,0.000447203958,0.0002024252949
30.068.135/0001-50,102,0.000572374883,0.003420607987
17.433.039/0001-03,102,0.000555274044,0.001318678884
01.776.200/0001-01,102,0.000815992196,0.01184160644
42.698.932/0001-08,102,0.000507975346,0.002262558287
03.300.371/0001-87,102,-0.000309696384,0.008385577678
17.414.721/0001-40,102,-0.000287976019,0.01060458226
74.055.922/0001-32,102,0.000269284243,0.01116350375
17.898.543/0001-70,102,0.000499793239,1.483239697e-05
18.772.290/0001-57,102,0.000379064434,0.002202048365
36.247.640/0001-48,102,0.000540197807,0.0118549865
46.331.231/0001-89,102,0.001290842457,0.01086870107
43.935.911/0001-13,102,0.000540770611,0.003929844144
22.177.252/0001-23,102,0.000210776630,0.001330938015
42.046.844/0001-13,102,0.000868639874,0.009888950854
40.653.167/0001-76,102,0.000369217431,0.001523996391
13.504.068/0001-50,102,0.001209007844,0.01191253025
37.013.129/0001-44,102,0.000889896973,0.006418664659
23.711.364/0001-85,102,0.000624180609,7.348469228e-06
18.418.812/0001-17,102,0.000499731899,1.685229955e-05
36.348.109/0001-61,102,0.000900592388,0.01603440672
18.466.245/0001-74,102,0.000504197188,0.0003025061983
45.443.514/0001-50,102,0.000530863677,0.003768349771
41.360.263/0001-99,102,0.001092455712,0.009392428919
08.035.673/0001-99,102,0.000445683098,2.029778313e-05
13.615.411/0001-33,102,0.000369938059,0.0005089184611
00.601.692/0001-23,102,0.001197839753,0.01917957291
39.914.053/0001-53,102,0.000374750424,0.003587482265
21.917.184/0001-29,102,-0.000922595582,0.009805442213
41.055.241/0001-15,102,0.000159587352,0.002803527778
18.602.683/0001-12,102,-0.001139844897,0.01086240148
01.656.101/0001-88,102,-0.000395116341,0.006680683199
42.730.834/0001-00,101,-0.000000335533,0.002116300546
28.840.420/0001-03,102,0.000273006857,0.001420082392
04.128.723/0001-21,102,0.000287599321,0.001323430769
05.164.370/0001-88,102,0.000089476175,0.01160196695
20.394.349/0001-62,102,0.000479084043,6.442825467e-05
42.447.372/0001-00,102,0.000377115040,0.003378606369
32.892.615/0001-66,102,0.000288959494,0.0007416002967
42.449.146/0001-69,102,-0.000091716432,0.003423349091
04.061.548/0001-00,102,0.000475820285,7.369531871e-05
41.722.064/0001-83,102,0.000244869380,0.00139811516
43.597.596/0001-61,102,0.000354808268,0.003538945182
05.090.920/0001-61,102,0.000458981966,0.0001735108066
42.338.370/0001-83,102,-0.000008972649,1.6673332e-05
42.174.230/0001-17,102,0.000604637525,0.001150183029
47.047.294/0001-70,102,0.000506638269,2.302172887e-05
17.455.369/0001-91,102,0.000500421049,2.170253441e-05
37.351.284/0001-70,102,0.000678810679,0.002365898772
10.263.609/0001-07,102,-0.000053907063,0.01252687611
34.781.162/0001-26,102,0.000127269285,0.001851354099
07.279.819/0001-89,102,0.000425002486,0.0008806980186
24.029.438/0001-60,102,0.000451910843,0.001780570976
03.917.096/0001-45,102,0.002161301065,0.02090222459
04.061.044/0001-82,102,-0.000318260575,0.008382992008
33.146.345/0001-07,102,-0.002771365857,0.02661395797
03.737.217/0001-77,102,0.000086013296,0.01151530056
35.580.389/0001-76,102,0.000442827279,0.0001920182283
09.093.679/0001-85,102,0.000894298803,0.002694044729
03.184.103/0001-47,102,0.000436907240,5.431390246e-05
41.287.933/0001-99,102,0.000806634119,0.006969950717
45.274.700/0001-02,102,0.000053738145,0.000554530432
06.128.183/0001-01,102,0.000959828328,0.0123453859
14.843.780/0001-46,102,0.000702748531,0.002595147202
35.820.632/0001-86,102,-0.000367395223,0.008648591099
29.993.639/0001-05,102,0.001076247809,0.003812137065
27.293.743/0001-53,102,0.000212294654,0.0009542064766
35.271.414/0001-30,102,-0.000403093681,0.003376576373
11.083.403/0001-68,102,0.000228468835,0.002123328284
46.385.800/0001-79,102,0.000382514880,0.001687270873
31.391.191/0001-93,102,0.000488315254,0.01000355992
24.454.718/0001-16,102,0.000303391228,0.01108629338
35.191.056/0001-55,102,0.000783261778,0.008625715912
06.301.947/0001-19,102,0.000474891695,0.0007211324428
41.888.517/0001-46,102,0.000187615983,0.0160029776
37.108.062/0001-21,102,0.000959825769,0.008899643195
14.438.229/0001-17,102,0.000854575847,0.009424266391
32.273.549/0001-46,102,0.000580904846,0.001852554453
43.917.521/0001-10,102,0.000506872822,0.02226030038
31.690.661/0001-10,102,0.000094037968,0.002731147012
42.848.046/0001-05,102,0.000396604649,0.0004687451333
26.362.387/0001-10,102,0.000746722498,0.002257584107
06.051.151/0001-55,102,0.000343300092,0.01166625411
41.672.397/0001-45,102,-0.000262181560,0.009037745792
39.342.722/0001-60,102,0.000710095058,0.001811719625
03.399.411/0001-90,102,0.000505016948,3.690528417e-05
01.605.280/0001-24,102,0.000465171227,5.246903849e-05
43.291.740/0001-37,102,0.000438770388,0.0001987712253
37.319.862/0001-91,102,0.000316298272,0.001945094856
19.237.869/0001-82,102,0.000366531061,0.01036208623
35.636.909/0001-15,102,0.001036084652,0.008304045641
30.830.220/0001-03,102,0.000315260814,0.0126054109
08.815.386/0001-00,102,0.000895263230,0.01272290482
39.806.561/0001-18,102,0.000612615952,2.906888371e-05
24.011.864/0001-77,102,0.000595175367,0.001353135987
29.732.926/0001-53,102,-0.000100596179,0.005032709708
02.832.973/0001-12,102,0.000193272272,0.01238602309
37.041.342/0001-60,102,0.000359575887,0.0005366199773
00.840.011/0001-80,102,0.000499236533,6.436614017e-05
31.455.960/0001-70,102,0.000258994451,0.002888064057
09.296.352/0001-00,102,-0.003021870569,0.01735309583
39.469.191/0001-70,102,0.000157933378,0.001646383916
39.594.941/0001-36,102,0.000485499251,0
20.335.522/0001-51,102,0.000331337164,0.0008079003651
30.998.125/0001-13,102,0.000832218172,0.01889409286
36.083.510/0001-17,102,0.000091120840,0.01234715206
10.500.884/0001-05,102,0.001248059882,0.01011694445
15.154.236/0001-50,102,0.000142997196,0.01195579169
13.083.227/0001-90,102,0.000252792565,0.01292633498
13.703.754/0001-50,102,0.000579426744,0.001177473567
04.823.412/0001-82,102,0.000448555577,1.29614814e-05
00.888.897/0001-31,102,0.000532128370,0.0006052421003
32.291.910/0001-67,102,0.000298980314,0.002400272276
41.196.241/0001-35,102,0.000551759210,3.011644069e-05
42.294.971/0001-31,102,0.000060919906,0.004026088424
32.666.326/0001-49,102,0.000537769407,0.01304097926
42.469.023/0001-90,102,0.000226827664,0.01196512474
31.392.336/0001-70,102,0.000587856757,0.01000226964
24.597.757/0001-72,102,-0.000141648451,0.005823836021
09.145.075/0001-35,102,0.000313293663,0.001368043493
28.025.408/0001-37,102,0.000751159463,0.002174565704
32.138.793/0001-04,102,-0.000073414422,0.00288502461
16.844.885/0001-45,102,0.000704265536,0.001806228668
28.911.598/0001-90,102,0.000259058821,0.003960162497
19.549.470/0001-37,102,0.000420568369,0.001084549676
38.267.707/0001-31,102,-0.000076537800,0.002007502179
42.013.848/0001-03,102,0.000651750448,4.795831523e-06
30.568.193/0001-42,102,0.000503962839,3.847076812e-05
30.887.013/0001-95,102,0.003628539789,0.02546533832
35.755.143/0001-98,102,0.000272527149,0.002348713052
04.237.578/0001-17,102,0.000439174912,2.209072203e-05
01.107.772/0001-90,102,0.000495668456,0.0002247976868
17.157.131/0001-80,102,0.000887687863,0.01343050375
05.755.769/0001-33,102,0.000381933429,0.000515410516
47.716.448/0001-70,102,0.000506202091,2.334523506e-05
40.156.155/0001-36,102,0.000486007378,0.001678455838
03.917.778/0001-58,102,0.002200206420,0.02084212386
44.315.854/0001-32,102,0.000542439736,0.001193702224
32.745.593/0001-01,102,0.000254822933,0.002506268342
27.500.387/0001-00,102,0.000460445673,0.006162968522
28.516.058/0001-01,102,-0.000288529555,0.008524500455
29.993.554/0001-19,102,0.000249931790,0.002947597496
18.810.900/0001-60,102,0.000428914482,0.001901375292
42.730.627/0001-48,102,0.000322739308,0.001225757725
18.820.189/0001-24,102,0.000492540951,2.063976744e-05
18.422.272/0001-45,102,0.000299191985,0.002408934619
45.274.408/0001-90,102,0.000737802651,4.129164564e-05
15.674.619/0001-59,102,0.000400146309,0.01041564554
04.128.557/0001-63,102,0.000345982590,0.001159327391
37.405.108/0001-74,102,0.000107674291,0.00272623495
29.298.535/0001-72,102,0.000693769239,0.002975173272
09.005.823/0001-84,102,0.000228019241,0.01190292191
16.565.016/0001-81,102,0.000514364289,4.670117772e-05
25.244.537/0001-28,102,0.000503257368,1.506651917e-05
32.743.215/0001-99,102,0.000355139978,0.01247130671
42.860.699/0001-00,102,0.000395926864,0.0003001566258
34.109.625/0001-08,102,0.000451041418,0.009867340067
39.490.897/0001-14,102,-0.000273206439,0.009550216909
31.341.469/0001-18,102,0.000250034686,0.002919665563
37.887.638/0001-04,102,0.000126696255,0.002725546734
17.330.191/0001-52,102,0.000949450922,0.01277685427
43.740.839/0001-79,102,0.000518023069,6.891298862e-05
42.814.797/0001-00,102,0.001882438501,0.01783103056
42.382.931/0001-41,102,0.000188294181,0.004401409433
11.145.302/0001-74,102,0.000342692569,0.01074415599
00.852.311/0001-89,102,0.000508234499,7.366817495e-05
